Name,Institution,Department,Discipline,Research Specializations,Unnamed: 5,Unnamed: 6,City,Country,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Location,Category,Region,Latitude,Longitude
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
,,,,,,,,,,,,,,,,,Alliance Member,,,
